depth,diameter,outer_pipe_diameter,outer_pipe_thickness,inner_pipe_diameter,inner_pipe_thickness,inner_pipe_thermal_conductivity,fluid_density,fluid_viscosity,fluid_thermal_conductivity,fluid_specific_heat_capacity,fluid_flow_rate,inlet_fluid_temperature,formation_density,formation_specific_heat_capacity,formation_thermal_conductivity,geothermal_gradient
5045.0,0.198,0.148,0.0146,0.0829,0.0075,20.621,1250.0,0.0467,2.0,2844.0,0.0042,300.0,2098.0,591.0,3.3,0.032
3636.0,0.1888,0.1388,0.0152,0.0786,0.011,12.745,1298.0,0.0252,3.6,3712.0,0.0036,301.0,2449.0,839.0,3.2,0.0353
4115.0,0.1999,0.1499,0.0155,0.0913,0.0104,15.5629,1190.0,0.0271,1.9,2712.0,0.0032,292.0,2716.0,693.0,2.8,0.039
4062.0,0.1882,0.1382,0.0111,0.0538,0.0068,34.0691,1246.0,0.0403,1.4,3382.0,0.0063,323.0,2364.0,766.0,3.7,0.0279
3767.0,0.2095,0.1595,0.014,0.0733,0.0082,40.3218,992.0,0.0316,3.5,2655.0,0.0038,306.0,1823.0,723.0,3.1,0.0312
3565.0,0.2123,0.1623,0.0114,0.0795,0.0111,10.3576,1092.0,0.0287,3.4,3354.0,0.0061,308.0,2045.0,725.0,3.0,0.0303
2304.0,0.1978,0.1478,0.0132,0.0852,0.009,21.1273,1360.0,0.0332,3.0,3190.0,0.0051,304.0,2579.0,726.0,2.9,0.027
4285.0,0.197,0.147,0.0053,0.0892,0.01,31.502,1182.0,0.0204,4.5,3786.0,0.0048,308.0,1994.0,745.0,2.9,0.0266
4131.0,0.1989,0.1489,0.0183,0.0941,0.0102,9.4717,1486.0,0.0382,3.3,4287.0,0.0059,308.0,2123.0,734.0,3.3,0.0315
4314.0,0.1964,0.1464,0.0143,0.068,0.0094,26.6932,1397.0,0.0439,2.6,2967.0,-0.0009,299.0,1924.0,749.0,2.7,0.0259
3696.0,0.1942,0.1442,0.0144,0.0676,0.0105,17.2813,1186.0,0.0349,1.5,4458.0,0.0035,306.0,2459.0,516.0,3.4,0.0324
4464.0,0.2063,0.1563,0.0148,0.0741,0.0101,24.2614,1048.0,0.057,2.3,4333.0,0.0043,310.0,2281.0,626.0,2.8,0.0326
4401.0,0.1815,0.1315,0.0122,0.092,0.0097,22.7949,1303.0,0.0371,1.2,3019.0,0.0021,312.0,2178.0,795.0,3.7,0.0289
5091.0,0.2216,0.1716,0.0165,0.0754,0.0138,16.4045,1008.0,0.0373,2.4,4193.0,0.0053,293.0,2678.0,663.0,3.1,0.0321
3119.0,0.1966,0.1466,0.0147,0.055,0.0091,25.6742,1413.0,0.023,2.5,3210.0,0.0086,318.0,2272.0,696.0,3.1,0.0305
3887.0,0.2046,0.1546,0.0127,0.0706,0.0092,34.1973,1051.0,0.0387,2.5,4086.0,0.0073,314.0,2267.0,689.0,2.8,0.0307
4485.0,0.1864,0.1364,0.0108,0.0637,0.0109,30.2928,1201.0,0.0285,2.3,3799.0,0.0054,299.0,2149.0,708.0,2.5,0.0325
3615.0,0.1828,0.1328,0.0222,0.0532,0.0123,28.2307,1127.0,0.0303,3.3,3625.0,0.0038,277.0,2245.0,597.0,2.7,0.0304
4546.0,0.1834,0.1334,0.012,0.0381,0.0079,26.0628,1000.0,0.0282,2.3,3118.0,0.0065,302.0,2465.0,580.0,2.3,0.0274
3046.0,0.2078,0.1578,0.0189,0.0809,0.0071,25.3401,1174.0,0.0323,2.4,3232.0,0.0069,297.0,2228.0,731.0,3.9,0.0361
4535.0,0.204,0.154,0.0168,0.0653,0.0122,21.9258,1426.0,0.0304,2.6,3593.0,0.0058,290.0,2516.0,636.0,3.4,0.0285
3776.0,0.2001,0.1501,0.0125,0.0528,0.0081,35.9667,1075.0,0.0348,3.2,3666.0,0.0034,288.0,2421.0,648.0,3.8,0.0316
3926.0,0.1976,0.1476,0.0184,0.0619,0.0085,14.8118,1177.0,0.0419,2.4,2496.0,0.0071,335.0,1768.0,683.0,3.4,0.0309
4860.0,0.2139,0.1639,0.0133,0.0685,0.008,31.1612,1270.0,0.0367,2.2,3481.0,0.0047,294.0,2606.0,781.0,3.1,0.0288
4429.0,0.1949,0.1449,0.0112,0.0939,0.0073,18.1177,1385.0,0.0206,2.7,3298.0,0.0092,310.0,2143.0,691.0,3.4,0.0317
4759.0,0.1893,0.1393,0.0124,0.0772,0.0078,27.0173,1285.0,0.0406,2.1,3528.0,0.0053,301.0,2415.0,805.0,3.6,0.0333
3167.0,0.1927,0.1427,0.0132,0.0593,0.0127,17.6681,1106.0,0.0327,2.8,4059.0,0.0056,318.0,2476.0,764.0,3.1,0.0343
4261.0,0.1931,0.1431,0.0088,0.1042,0.0101,27.5881,1439.0,0.0405,3.3,3886.0,0.0067,307.0,1880.0,752.0,3.3,0.0338
2799.0,0.1874,0.1374,0.0116,0.0448,0.0056,22.5931,1352.0,0.049,3.1,2335.0,0.0025,302.0,2360.0,781.0,3.6,0.0328
3235.0,0.1955,0.1455,0.0099,0.0779,0.0106,31.7452,1222.0,0.0453,2.8,3402.0,0.0056,313.0,2054.0,643.0,2.6,0.034
3742.0,0.2017,0.1517,0.0153,0.0875,0.0129,29.5571,1226.0,0.0426,1.7,4172.0,0.0054,325.0,1787.0,731.0,3.6,0.0341
5031.0,0.2157,0.1657,0.0173,0.0605,0.0107,11.8625,1101.0,0.0395,3.9,4551.0,0.005,304.0,1704.0,761.0,4.1,0.0292
4689.0,0.1959,0.1459,0.017,0.0572,0.0111,17.6892,1206.0,0.0313,3.1,4507.0,0.0078,299.0,2641.0,641.0,3.0,0.0381
3518.0,0.203,0.153,0.0157,0.0425,0.0097,23.9025,1344.0,0.041,5.2,2878.0,0.0049,309.0,2530.0,558.0,3.5,0.033
3910.0,0.2025,0.1525,0.0135,0.067,0.0099,13.8908,1230.0,0.038,2.5,3006.0,0.0058,314.0,1440.0,684.0,2.6,0.0294
3442.0,0.1994,0.1494,0.0137,0.0714,0.0104,36.6613,1378.0,0.0294,2.0,4070.0,0.0044,315.0,2105.0,713.0,3.5,0.0287
4417.0,0.192,0.142,0.018,0.0703,0.0121,22.9946,1211.0,0.0443,2.0,3292.0,0.0031,294.0,2224.0,673.0,3.1,0.0343
2859.0,0.1956,0.1456,0.0096,0.076,0.0087,24.7352,1094.0,0.0466,2.6,2944.0,0.0062,298.0,2498.0,735.0,2.7,0.0373
3504.0,0.19,0.14,0.016,0.085,0.007,23.5705,1535.0,0.0167,3.8,2793.0,0.0041,315.0,1859.0,812.0,3.3,0.0313
4227.0,0.2061,0.1561,0.0143,0.0629,0.0118,26.3276,1256.0,0.0262,3.6,2440.0,0.0081,304.0,2749.0,687.0,3.1,0.0353
3338.0,0.2176,0.1676,0.0092,0.0691,0.0089,3.3346,1323.0,0.0478,1.0,2643.0,0.0065,307.0,2621.0,704.0,3.4,0.0329
4512.0,0.2085,0.1585,0.013,0.0647,0.0113,13.6497,1334.0,0.0338,1.6,3839.0,0.0041,292.0,2600.0,671.0,2.8,0.0332
5613.0,0.1913,0.1413,0.0117,0.0711,0.0095,30.8061,1159.0,0.0308,2.3,2824.0,0.0039,313.0,2133.0,777.0,3.0,0.0371
4377.0,0.1938,0.1438,0.0109,0.0599,0.0103,32.3851,1313.0,0.0426,2.0,3615.0,0.0055,295.0,2096.0,638.0,2.8,0.0323
3404.0,0.1855,0.1355,0.013,0.0547,0.0077,19.5926,1113.0,0.0342,2.8,3533.0,0.0071,293.0,2372.0,740.0,3.2,0.0319
4640.0,0.1807,0.1307,0.0127,0.0721,0.0059,24.1058,1141.0,0.033,4.1,3651.0,0.0068,285.0,1968.0,770.0,3.4,0.0342
3997.0,0.1923,0.1423,0.014,0.0694,0.0098,27.2694,1040.0,0.0254,1.6,3112.0,0.0052,289.0,1886.0,633.0,3.3,0.0332
5850.0,0.1739,0.1239,0.0107,0.084,0.01,30.2205,1243.0,0.04,3.0,2290.0,0.0053,311.0,3177.0,708.0,2.5,0.0321
2563.0,0.1906,0.1406,0.0118,0.0822,0.0133,19.7151,981.0,0.029,1.8,3963.0,0.0049,295.0,1987.0,719.0,3.8,0.0374
4938.0,0.1783,0.1283,0.0121,0.0804,0.0089,14.5385,1189.0,0.0361,3.3,4838.0,0.005,286.0,2037.0,694.0,3.5,0.0345
4033.0,0.1843,0.1343,0.0119,0.058,0.0048,22.2329,1216.0,0.0247,1.7,3924.0,0.0034,297.0,2234.0,664.0,3.2,0.03
5162.0,0.1962,0.1462,0.0125,0.0783,0.0106,21.5075,1364.0,0.0485,2.2,3682.0,0.007,305.0,2191.0,649.0,3.2,0.0347
3435.0,0.1916,0.1416,0.0162,0.0814,0.008,19.3655,1208.0,0.0433,3.7,3820.0,0.0022,291.0,2320.0,645.0,2.4,0.0327
3685.0,0.2108,0.1608,0.0144,0.1023,0.0084,15.1763,941.0,0.0369,1.8,3343.0,0.0066,302.0,2328.0,700.0,3.0,0.0301
3002.0,0.2034,0.1534,0.0169,0.0749,0.0088,27.4014,1279.0,0.0351,3.2,3510.0,0.0054,321.0,2335.0,791.0,3.4,0.0302
5261.0,0.1909,0.1409,0.0138,0.0861,0.0083,28.6491,1072.0,0.0266,3.8,4111.0,0.0046,297.0,2396.0,621.0,3.3,0.0346
3871.0,0.1822,0.1322,0.0131,0.0428,0.0102,29.8009,1293.0,0.0314,3.5,3328.0,0.0064,303.0,2428.0,661.0,2.6,0.0349
4350.0,0.1991,0.1491,0.0151,0.0866,0.0074,39.464,1267.0,0.0222,2.4,2780.0,0.0057,298.0,2288.0,615.0,3.6,0.0334
3370.0,0.2067,0.1567,0.0095,0.0717,0.0115,26.6332,1231.0,0.0353,2.8,2901.0,0.0075,316.0,2382.0,603.0,3.3,0.035
4296.0,0.1858,0.1358,0.016,0.0825,0.0095,24.5029,1036.0,0.0391,2.7,4145.0,0.0046,305.0,2027.0,600.0,2.9,0.0336
4052.0,0.2009,0.1509,0.0141,0.0961,0.0134,20.2512,1240.0,0.0319,3.0,3733.0,0.0059,311.0,1940.0,774.0,3.5,0.033
4725.0,0.2102,0.1602,0.0139,0.074,0.0113,16.8117,1116.0,0.026,3.7,4373.0,0.0043,307.0,2068.0,748.0,3.5,0.032
3591.0,0.1951,0.1451,0.01,0.0727,0.0076,18.7847,1148.0,0.0355,1.9,3565.0,0.0057,301.0,2004.0,828.0,3.1,0.0299
4081.0,0.1872,0.1372,0.0154,0.0315,0.0099,25.8515,1028.0,0.0309,3.9,4634.0,0.0069,317.0,2379.0,575.0,3.2,0.031
3835.0,0.2053,0.1553,0.0178,0.0662,0.0083,18.5314,1081.0,0.0357,3.0,3755.0,0.0027,319.0,2197.0,686.0,3.9,0.0357
4164.0,0.1849,0.1349,0.0135,0.0509,0.0093,20.9362,1340.0,0.0188,1.3,2572.0,0.0029,289.0,2549.0,711.0,3.0,0.0315
2715.0,0.1983,0.1483,0.0145,0.0465,0.0078,33.098,1018.0,0.0343,3.2,4227.0,0.0033,283.0,2017.0,676.0,3.2,0.0359
4575.0,0.2021,0.1521,0.0104,0.0642,0.0096,17.1351,1120.0,0.032,1.5,2078.0,0.0044,298.0,2504.0,869.0,3.2,0.0348
