depth,diameter,outer_pipe_diameter,outer_pipe_thickness,inner_pipe_diameter,inner_pipe_thickness,inner_pipe_thermal_conductivity,fluid_density,fluid_viscosity,fluid_thermal_conductivity,fluid_specific_heat_capacity,fluid_flow_rate,inlet_fluid_temperature,formation_density,formation_specific_heat_capacity,formation_thermal_conductivity,geothermal_gradient,output temperature  K (target),bottom hole temperature  K
2663,0.2014,0.1514,0.0145,0.0719,0.0093,0.0411,1174,0.0346,1.6,2886,0.0069,295,2145,722,3.2,0.0254,307.065,308.069
3485,0.2056,0.1556,0.0155,0.0627,0.0076,0.0396,1207,0.0443,2,4427,0.0033,306,2157,772,3.4,0.0351,336.008,340.46
4307,0.1817,0.1317,0.0132,0.0996,0.0077,0.0371,1424,0.0223,2.1,3111,0.0046,305,2286,672,3.8,0.0341,345.134,354.449
4960,0.2008,0.1508,0.0142,0.0733,0.0078,0.0623,1272,0.0249,3.3,3557,0.0067,297,2547,550,2.9,0.0359,336.608,345.133
3639,0.2048,0.1548,0.0138,0.0588,0.0073,0.0392,1100,0.0476,3.1,2464,0.0046,291,2347,642,3.9,0.0339,342.052,352.067
5268,0.1895,0.1395,0.0128,0.0756,0.0099,0.0528,1185,0.0352,3.7,3028,0.0049,302,2123,693,3.6,0.0347,365.354,383.053
4095,0.2261,0.1761,0.017,0.0861,0.0084,0.0441,862,0.041,3,3462,0.0064,314,2365,729,3.3,0.0335,345.874,353.261
2924,0.1907,0.1407,0.0116,0.0493,0.0079,0.0482,1093,0.0421,3.5,3396,0.0043,294,2055,683,2.7,0.0346,317.938,321.005
2838,0.1957,0.1457,0.0178,0.0696,0.0101,0.0293,1196,0.0492,3.2,4009,0.0055,312,2116,822,3.5,0.0328,323.82,324.521
4809,0.1955,0.1455,0.0106,0.0523,0.0116,0.05,1033,0.0341,2.3,3592,0.0037,300,2594,724,3.1,0.0317,356.215,367.083
3450,0.1934,0.1434,0.019,0.0744,0.0091,0.0542,1111,0.038,1.7,4201,0.0073,303,2487,812,3.5,0.0318,320.686,322.571
3620,0.1801,0.1301,0.0099,0.0703,0.0128,0.0538,1170,0.0401,3.4,2925,0.0051,295,2448,703,3.2,0.0291,324.341,328.631
3017,0.2094,0.1594,0.0135,0.0544,0.0125,0.043,1230,0.0201,2.4,4302,0.0025,293,2090,715,3.8,0.0381,333.594,337.778
3750,0.1922,0.1422,0.0095,0.0887,0.0098,0.0435,1264,0.0461,3.1,2605,0.0051,297,2266,709,3.6,0.0305,331.044,337.675
4997,0.1996,0.1496,0.0229,0.0769,0.0103,0.0231,1190,0.0406,2.7,3843,0.0068,309,2524,770,2.8,0.0324,343.599,345.944
3199,0.1961,0.1461,0.0152,0.0657,0.0052,0.0455,1436,0.0357,1.9,4278,0.0035,309,2176,668,3.6,0.0279,323.662,326.681
3291,0.202,0.152,0.0184,0.0747,0.0105,0.0426,1156,0.0299,3,4117,0.0041,305,2414,846,4,0.0321,331.668,335.019
4630,0.1876,0.1376,0.0133,0.0819,0.0082,0.0367,1239,0.0333,0.2,3030,0.0077,310,1905,742,3,0.0315,333.155,336.109
3328,0.1969,0.1469,0.0148,0.0787,0.008,0.0568,1348,0.0525,2.8,2955,0.0064,303,2428,704,3,0.0338,322.188,325.435
4230,0.1929,0.1429,0.0126,0.0801,0.0111,0.0491,1075,0.0336,3.8,1718,0.0059,284,2211,802,3.2,0.0334,348.813,367.921
