Block Name,Row ID,N,Time,avg(X),avg(Y),avg(Z),avg(temperature_BHE1 (0)),avg(temperature_BHE1 (1)),avg(temperature_BHE1 (2)),avg(temperature_BHE1 (Magnitude)),avg(temperature_soil),avg(vtkOriginalPointIds),max(X),max(Y),max(Z),max(temperature_BHE1 (0)),max(temperature_BHE1 (1)),max(temperature_BHE1 (2)),max(temperature_BHE1 (Magnitude)),max(temperature_soil),max(vtkOriginalPointIds),med(X),med(Y),med(Z),med(temperature_BHE1 (0)),med(temperature_BHE1 (1)),med(temperature_BHE1 (2)),med(temperature_BHE1 (Magnitude)),med(temperature_soil),med(vtkOriginalPointIds),min(X),min(Y),min(Z),min(temperature_BHE1 (0)),min(temperature_BHE1 (1)),min(temperature_BHE1 (2)),min(temperature_BHE1 (Magnitude)),min(temperature_soil),min(vtkOriginalPointIds),q1(X),q1(Y),q1(Z),q1(temperature_BHE1 (0)),q1(temperature_BHE1 (1)),q1(temperature_BHE1 (2)),q1(temperature_BHE1 (Magnitude)),q1(temperature_soil),q1(vtkOriginalPointIds),q3(X),q3(Y),q3(Z),q3(temperature_BHE1 (0)),q3(temperature_BHE1 (1)),q3(temperature_BHE1 (2)),q3(temperature_BHE1 (Magnitude)),q3(temperature_soil),q3(vtkOriginalPointIds),std(X),std(Y),std(Z),std(temperature_BHE1 (0)),std(temperature_BHE1 (1)),std(temperature_BHE1 (2)),std(temperature_BHE1 (Magnitude)),std(temperature_soil),std(vtkOriginalPointIds),vtkValidPointMask
stats,0,1,0,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,20,-17,282.05,282.05,282.05,488.525,281.678,16199,0,0,0,0,0,0,0,0,0,1
stats,1,1,600,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,20,-17,284.904,282.032,281.712,489.973,281.709,16199,0,0,0,0,0,0,0,0,0,1
stats,2,1,1200,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,20,-17,285.318,282.056,281.741,490.244,281.738,16199,0,0,0,0,0,0,0,0,0,1
stats,3,1,1800,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,20,-17,285.444,282.099,281.77,490.359,281.767,16199,0,0,0,0,0,0,0,0,0,1
stats,4,1,2400,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,20,-17,285.62,282.162,281.801,490.516,281.798,16199,0,0,0,0,0,0,0,0,0,1
stats,5,1,3000,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,20,-17,285.409,282.206,281.832,490.436,281.829,16199,0,0,0,0,0,0,0,0,0,1
stats,6,1,3600,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,20,-17,285.565,282.27,281.864,490.582,281.861,16199,0,0,0,0,0,0,0,0,0,1
stats,7,1,4200,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,20,-17,285.711,282.343,281.899,490.73,281.895,16199,0,0,0,0,0,0,0,0,0,1
stats,8,1,4800,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,20,-17,285.84,282.42,281.936,490.87,281.932,16199,0,0,0,0,0,0,0,0,0,1
stats,9,1,5400,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,20,-17,286.175,282.514,281.977,491.143,281.973,16199,0,0,0,0,0,0,0,0,0,1
