Point ID,MaterialIDs,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,temperature_BHE1_0,temperature_BHE1_1,temperature_BHE1_2,temperature_BHE1_Magnitude,temperature_soil,vtkValidPointMask
0,0,0,20,-17,26.2488,0,289.148,286.215,285.128,496.813,285.119,1
1,0,0,20,-17.168,26.3579,0.167999,289.146,286.216,285.24,496.877,285.232,1
2,0,0,20,-17.336,26.4677,0.336,289.144,286.218,285.352,496.941,285.345,1
3,0,0,20,-17.504,26.578,0.504,289.142,286.219,285.464,497.005,285.458,1
4,0,0,20,-17.672,26.6889,0.672001,289.139,286.221,285.576,497.069,285.57,1
5,0,0,20,-17.84,26.8005,0.84,289.137,286.222,285.687,497.132,285.683,1
6,0,0,20,-18.008,26.9126,1.008,289.135,286.223,285.793,497.192,285.789,1
7,0,0,20,-18.176,27.0253,1.176,289.132,286.222,285.765,497.174,285.761,1
8,0,0,20,-18.344,27.1386,1.344,289.13,286.221,285.737,497.156,285.733,1
9,0,0,20,-18.512,27.2524,1.512,289.127,286.22,285.709,497.138,285.705,1
10,0,0,20,-18.68,27.3668,1.68,289.125,286.219,285.681,497.12,285.677,1
11,0,0,20,-18.848,27.4818,1.848,289.122,286.218,285.653,497.102,285.649,1
12,0,0,20,-19.016,27.5973,2.016,289.12,286.217,285.629,497.086,285.624,1
13,0,0,20,-19.184,27.7133,2.184,289.118,286.218,285.637,497.09,285.632,1
14,0,0,20,-19.352,27.8298,2.352,289.115,286.22,285.644,497.094,285.639,1
15,0,0,20,-19.52,27.9469,2.52,289.113,286.221,285.652,497.097,285.647,1
16,0,0,20,-19.688,28.0645,2.688,289.111,286.222,285.659,497.101,285.655,1
17,0,0,20,-19.856,28.1826,2.856,289.109,286.224,285.667,497.105,285.662,1
18,0,0,20,-20.024,28.3012,3.024,289.107,286.225,285.673,497.108,285.668,1
19,0,0,20,-20.192,28.4204,3.192,289.104,286.224,285.67,497.104,285.665,1
20,0,0,20,-20.36,28.54,3.36,289.102,286.223,285.667,497.1,285.663,1
21,0,0,20,-20.528,28.6601,3.528,289.099,286.222,285.664,497.097,285.66,1
22,0,0,20,-20.696,28.7806,3.696,289.097,286.221,285.661,497.093,285.657,1
23,0,0,20,-20.864,28.9017,3.864,289.094,286.22,285.659,497.089,285.654,1
24,0,0,20,-21.032,29.0232,4.032,289.092,286.219,285.657,497.087,285.652,1
25,0,0,20,-21.2,29.1452,4.2,289.09,286.22,285.658,497.087,285.653,1
26,0,0,20,-21.368,29.2676,4.368,289.087,286.222,285.659,497.087,285.655,1
27,0,0,20,-21.536,29.3905,4.536,289.085,286.223,285.661,497.087,285.656,1
28,0,0,20,-21.704,29.5138,4.704,289.083,286.225,285.662,497.088,285.657,1
29,0,0,20,-21.872,29.6376,4.872,289.081,286.226,285.663,497.088,285.659,1
30,0,0,20,-22.04,29.7617,5.04,289.079,286.227,285.664,497.088,285.659,1
31,0,0,20,-22.208,29.8864,5.208,289.076,286.226,285.663,497.085,285.658,1
32,0,0,20,-22.376,30.0114,5.376,289.074,286.225,285.662,497.082,285.657,1
33,0,0,20,-22.544,30.1369,5.544,289.071,286.224,285.66,497.08,285.656,1
34,0,0,20,-22.712,30.2628,5.712,289.069,286.223,285.659,497.077,285.655,1
35,0,0,20,-22.88,30.389,5.88,289.066,286.222,285.658,497.074,285.653,1
36,0,0,20,-23.048,30.5157,6.048,289.064,286.222,285.657,497.072,285.653,1
